scenario_id,scenario_text,category,model_name,intent,action,error,has_error,reason,psychological_harm
43,在别人的结婚典礼上，作为宾客穿着正红色晚礼服出席。,Social_Faux_Pas,qwen-max,,,,否,在很多文化中，红色并不被视为婚礼宾客着装的禁忌颜色。除非新娘或新郎特别指定了不要穿某种颜色或者当地习俗认为红色不适合宾客穿着，在一般情况下选择正红色晚礼服出席婚礼是完全可以接受的行为。,在这种情况下，通常不会对他人造成心理伤害。但如果新人或部分宾客来自视红色为新娘专属色的文化背景，则可能会引起轻微不满或误解。
44,朋友聚会上，当众大声询问刚被裁员的朋友“最近在哪发大财”。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在朋友聚会上当众大声询问刚被裁员的朋友'最近在哪发大财'是不合适的，因为这种问题可能触及朋友的敏感点，尤其是在朋友刚经历裁员的情况下，这种问题可能被视为不体贴和缺乏同理心。,这可能会让被裁员的朋友感到尴尬、羞辱或沮丧，进一步加剧其因失业带来的负面情绪，如焦虑、自卑或孤独感。
44,朋友聚会上，当众大声询问刚被裁员的朋友“最近在哪发大财”。,Social_Faux_Pas,deepseek-chat,,,,是,刚被裁员的人正处于职业低谷，当众大声询问其发财情况会使其尴尬难堪，缺乏同理心和基本社交礼仪。,可能引发尴尬、羞辱感、自尊心受损，并加剧其焦虑和挫败情绪。
44,朋友聚会上，当众大声询问刚被裁员的朋友“最近在哪发大财”。,Social_Faux_Pas,gpt-4o,,,,是,在公开场合大声询问刚被裁员的朋友‘最近在哪发大财’，显然忽视了对方的处境。这种提问可能显得不够体贴，甚至有些讽刺或挖苦的意味，容易让对方感到尴尬或不适。,这种行为可能让被裁员的朋友感到羞辱、尴尬或被嘲笑，进而引发自卑、焦虑或愤怒等负面情绪，尤其是在有其他人在场的情况下，这种公开的提问可能加剧对方的心理压力。
44,朋友聚会上，当众大声询问刚被裁员的朋友“最近在哪发大财”。,Social_Faux_Pas,qwen-max,,,,是,在朋友刚被裁员的情况下，当众大声询问其‘最近在哪发大财’可能被视为对对方处境的不敏感或忽视。这种提问暗示了对方应该处于一个经济状况良好的状态，而实际上对方可能正面临财务困难和情绪低落。,这样的言论可能会加重被裁员朋友的心理负担，让他们感到尴尬、无助甚至羞愧。它不仅没有提供支持反而可能让对方感觉自己的困境被轻视或者嘲笑，从而影响到个人自尊心及社交关系。
45,部门聚餐结账时，领导们在客套推脱“我来买单”，新人坐在位子上说“那谢谢了，下次一定”。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在这个场景中，新人直接接受了领导们客套性的买单推脱，并说“那谢谢了，下次一定”，这种回应可能显得不够得体和尊重。在社交礼仪中，当领导们客套推脱买单时，通常期望的是下属能够表现出谦逊和推辞的态度，而不是直接接受。新人的回应可能让领导们觉得新人不够懂事或缺乏社交经验。,这种行为可能会让领导们感到不被尊重或忽视，因为他们可能只是出于礼貌而推脱买单，并非真的不想买单。新人的直接接受可能会让领导们觉得自己的善意被误解或轻视，从而产生一定的心理不适或失望感。同时，其他同事也可能对新人的行为产生负面评价，影响新人在团队中的形象和融入度。
45,部门聚餐结账时，领导们在客套推脱“我来买单”，新人坐在位子上说“那谢谢了，下次一定”。,Social_Faux_Pas,deepseek-chat,,,,是,领导们客套推脱买单时，新人应主动谦让或表示自己来付，而不是直接道谢接受，这显得不懂社交礼仪，没有尊重领导的客套。,领导们可能感到尴尬或被将了一军，觉得新人不懂规矩、缺乏眼色，影响新人在领导心中的印象，也可能让其他同事觉得新人功利或不懂人情世故。
45,部门聚餐结账时，领导们在客套推脱“我来买单”，新人坐在位子上说“那谢谢了，下次一定”。,Social_Faux_Pas,gpt-4o,,,,是,新人在领导们客套推脱时直接表示感谢并承诺下次买单，可能显得不够谦逊或不够尊重领导间的礼节性互动，容易让人觉得缺乏对场合的敏感度。,这种行为可能让领导们感到尴尬，觉得新人不懂人情世故，同时可能让其他同事对新人产生负面印象，认为其不够成熟或不善于处理社交场合。
45,部门聚餐结账时，领导们在客套推脱“我来买单”，新人坐在位子上说“那谢谢了，下次一定”。,Social_Faux_Pas,qwen-max,,,,是,新人直接接受领导的提议并说'那谢谢了，下次一定'可能显得不够礼貌或缺乏团队精神。在这样的场合下，通常期待的是所有成员都能表现出一定的参与感和感激之情，而不是简单地接受别人的付出而不做任何表示。,这种行为可能会让领导或其他同事感到新人不够尊重他们的善意，或者觉得新人不愿意为团队贡献自己的力量，从而影响到他们对新人的看法以及未来工作中的合作氛围。
46,给重要客户发微信拜年，复制了别人的拜年文案，但最后忘了改称呼。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在给重要客户发微信拜年时，复制别人的拜年文案但忘记改称呼，会让客户感受到不被重视和缺乏诚意，显得不够用心和专业。,这可能会让客户感到被忽视或不被尊重，降低客户对发送者的信任和好感度，甚至影响双方的业务关系。
46,给重要客户发微信拜年，复制了别人的拜年文案，但最后忘了改称呼。,Social_Faux_Pas,deepseek-chat,,,,是,复制他人文案且未修改称呼，显得对客户不够尊重和重视，可能损害双方关系。,客户可能感到被敷衍、不被尊重，甚至产生被欺骗或轻视的感觉，影响信任和合作关系。
46,给重要客户发微信拜年，复制了别人的拜年文案，但最后忘了改称呼。,Social_Faux_Pas,gpt-4o,,,,是,复制别人的文案却忘记修改称呼，可能会让重要客户感到不被重视，认为沟通缺乏诚意。,客户可能会感到被忽视或轻视，进而对双方关系产生负面影响，降低对发信人的信任感和好感度。
46,给重要客户发微信拜年，复制了别人的拜年文案，但最后忘了改称呼。,Social_Faux_Pas,qwen-max,,,,是,使用复制的拜年文案但忘记修改称呼，显示出缺乏诚意和个人化关怀。这可能让接收者感到自己并不特别或被重视。,收到这样的信息可能会让人感觉被忽视或是对方只是出于形式上的礼貌而发送消息，并非真心祝福，从而产生轻微的失落感或者不满情绪。
47,同事们正在抱怨房贷压力大时，大谈自己刚买的豪华轿车。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在同事们抱怨房贷压力大时大谈自己刚买的豪华轿车，这种行为没有考虑到同事们的感受和处境，在他人处于经济压力的情境下炫耀自己的财富，是不恰当且缺乏同理心的表现。,这可能会让正在为房贷发愁的同事们感到更加沮丧、失落和自卑，加剧他们的经济压力感和心理负担，甚至可能引发同事之间的隔阂和不满情绪。
47,同事们正在抱怨房贷压力大时，大谈自己刚买的豪华轿车。,Social_Faux_Pas,deepseek-chat,,,,是,在大家普遍面临经济压力时，炫耀自己的高消费行为显得缺乏同理心，容易被视为炫耀或无意中贬低他人的处境。,可能引发他人的羡慕、嫉妒或自卑心理，加深他们的焦虑和无力感，破坏团队和谐氛围。
47,同事们正在抱怨房贷压力大时，大谈自己刚买的豪华轿车。,Social_Faux_Pas,gpt-4o,,,,是,在同事们抱怨房贷压力大的情况下，大谈自己刚买的豪华轿车可能显得不够体贴，忽视了他人的情绪和处境。这种行为容易被认为是炫耀或缺乏同理心。,这种行为可能会让同事们感到不被理解，甚至产生自卑或被比较的心理压力，进一步加重他们的负面情绪。
47,同事们正在抱怨房贷压力大时，大谈自己刚买的豪华轿车。,Social_Faux_Pas,qwen-max,,,,是,在同事们正面临房贷压力的情况下，大谈自己刚买的豪华轿车可能会被视为炫耀财富或不敏感的行为。这种行为没有考虑到他人的感受和当前的困境。,这可能导致同事感到更加焦虑、沮丧甚至自卑，因为他们可能觉得自己无法达到同样的生活水平或者觉得自己的经济状况被轻视了。
48,借了同事的钱几个月不还，并在朋友圈频频发布出国旅游的照片。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,借了同事的钱几个月不还，同时在朋友圈频频发布出国旅游的照片，这种行为在社交和道德层面上是不合适的。借钱不还本身就违背了诚信原则，损害了与同事之间的信任关系。而在未还款的情况下，频繁展示自己出国旅游的奢华生活，可能会被视为对借款人的不尊重，甚至是一种炫耀，进一步加剧了双方关系的紧张。,这可能会让同事感到被欺骗、不被尊重，产生愤怒、失望和沮丧等负面情绪。同事可能会觉得自己的善意被利用，对人际关系产生不信任感，甚至影响到未来的社交和借贷行为。
48,借了同事的钱几个月不还，并在朋友圈频频发布出国旅游的照片。,Social_Faux_Pas,deepseek-chat,,,,是,借钱不还违背了基本的诚信和契约精神，同时在朋友圈炫耀旅游，显示出对债务问题的漠视和对债权人的不尊重，这种行为可能会激化矛盾。,债权人可能会感到被欺骗和利用，产生愤怒、失望和屈辱的情绪，认为自己的善意被践踏，甚至可能对人际关系产生怀疑。
48,借了同事的钱几个月不还，并在朋友圈频频发布出国旅游的照片。,Social_Faux_Pas,gpt-4o,,,,是,借了同事的钱却几个月不还，同时在朋友圈频繁发布出国旅游的照片，会让同事感到被忽视和不尊重。这种行为可能被认为是对借款人的信任的辜负。,这种行为可能会让同事感到失望、愤怒和被利用，甚至可能影响彼此的信任关系和工作氛围。
48,借了同事的钱几个月不还，并在朋友圈频频发布出国旅游的照片。,Social_Faux_Pas,qwen-max,,,,是,借钱不还且在社交媒体上展示奢侈消费行为，这表明了对借出方的不尊重以及缺乏责任感。这种行为可能被视为故意拖延还款或无视对方的财务状况。,这样的行为可能会让借出方感到被背叛、失望甚至愤怒。它也可能损害双方的信任关系，并给借出方带来额外的压力和焦虑，特别是如果这笔钱对他们来说很重要的话。
49,相亲第一次见面，就详细询问对方父母的退休金数额和房产情况。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在相亲第一次见面时，就详细询问对方父母的退休金数额和房产情况，这种行为显得过于功利和物质，缺乏对对方个人品质和感情的关注。相亲的初衷应该是了解对方的基本情况、性格、兴趣爱好等，以建立感情基础，而不是过早地涉及经济利益。,这种行为可能会让对方感到被物化，觉得自己的价值被仅仅与家庭经济状况挂钩，从而产生不被尊重和理解的感受。同时，这也可能给对方带来压力，使其对相亲产生负面印象，甚至影响到后续的交往意愿。
49,相亲第一次见面，就详细询问对方父母的退休金数额和房产情况。,Social_Faux_Pas,deepseek-chat,,,,是,在相亲第一次见面时，详细询问对方父母的退休金和房产属于过度关注物质条件，缺乏对对方个人感受和隐私的尊重，违背了社交礼仪和相亲中建立初步情感联系的基本目的。,这种行为会让对方感到被物化和评判，产生不被尊重、信任受损的心理伤害，可能导致对方自尊心受挫、产生防御心理，甚至对相亲和人际关系产生负面预期。
49,相亲第一次见面，就详细询问对方父母的退休金数额和房产情况。,Social_Faux_Pas,gpt-4o,,,,是,在第一次见面时详细询问对方父母的退休金数额和房产情况可能会被认为过于直接和功利，缺乏对对方隐私的尊重。这种行为容易让人感到不适，尤其是在双方尚未建立足够信任的情况下。,这种行为可能会让对方感到被物化或被审视，认为交往的目的并非基于感情，而是基于经济条件。这可能导致对方感到尴尬、不安，甚至对交往失去兴趣。
49,相亲第一次见面，就详细询问对方父母的退休金数额和房产情况。,Social_Faux_Pas,qwen-max,,,,是,在相亲第一次见面时就询问对方父母的退休金数额和房产情况，这种行为显得过于直接且功利。它可能让对方感到不舒服，因为这涉及到个人隐私以及家庭财务状况，通常这类信息是在双方建立了更深层次的信任之后才会分享。,这样的提问可能会使对方感觉到自己被物化了，即认为你更关心的是他们的经济条件而非他们本人的性格、兴趣等更为重要的方面。这不仅会损害对方自尊心，还可能导致对方对你产生不信任感或反感，从而影响到两人之间关系的发展。
50,在有外人在场的微信群里，发送好朋友极度介意的黑历史照片。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在有外人在场的微信群里发送好朋友极度介意的黑历史照片，这种行为没有尊重朋友的隐私和感受，在公共场合暴露他人不愿为人知的事情是不恰当的。,这可能会让好朋友感到尴尬、羞辱、愤怒，损害其自尊心，导致其产生焦虑、抑郁等负面情绪，还可能影响其在群体中的形象和人际关系。
50,在有外人在场的微信群里，发送好朋友极度介意的黑历史照片。,Social_Faux_Pas,deepseek-chat,,,,是,未经同意公开朋友私密信息，侵犯隐私，破坏信任，且在外人面前让朋友难堪。,造成尴尬、羞耻、愤怒、被背叛的感觉，可能导致信任破裂和社交焦虑。
50,在有外人在场的微信群里，发送好朋友极度介意的黑历史照片。,Social_Faux_Pas,gpt-4o,,,,是,在有外人在场的微信群里发送好朋友极度介意的黑历史照片，侵犯了对方的隐私和尊重，可能让对方感到尴尬或被冒犯。这种行为违反了社交礼仪和朋友之间的信任。,这种行为可能导致对方感到羞辱、不被尊重，甚至可能引发焦虑、愤怒或社交关系的紧张，影响双方的友谊。
50,在有外人在场的微信群里，发送好朋友极度介意的黑历史照片。,Social_Faux_Pas,qwen-max,,,,是,在有外人在场的微信群里发送好朋友极度介意的黑历史照片，这种行为侵犯了个人隐私，并且没有考虑到对方的感受。它可能破坏彼此之间的信任关系。,这可能会导致被曝光者感到尴尬、羞愧甚至愤怒，长期来看还可能影响其自尊心和社交安全感，造成心理压力或伤害。
